Vuosi	Kasvu	Poistuma	Hakkuukertymä	Tase	CO2eq
1990	80.74	56.59	48.87	24.15	-28950
1991	81.76	46.13	39.37	35.63	-42946
1992	82.77	52.46	45.15	30.31	-36689
1993	83.79	55.26	47.70	28.53	-35287
1994	84.80	63.14	55.03	21.66	-27358
1995	85.82	65.05	56.71	20.77	-26372
1996	86.83	60.45	52.59	26.38	-34477
1997	88.64	67.64	58.84	21.00	-28068
1998	90.45	70.89	60.97	19.56	-25770
1999	92.26	71.82	60.94	20.44	-26721
2000	94.07	73.47	61.50	20.60	-26052
2001	95.88	71.62	59.36	24.26	-29233
2002	97.69	72.61	60.27	25.08	-29851
2003	99.50	73.57	61.14	25.93	-29952
2004	100.69	73.56	61.16	27.13	-31435
2005	101.89	70.99	58.68	30.90	-35067
2006	103.08	69.06	56.94	34.02	-36448
2007	104.28	76.76	63.85	27.52	-25372
2008	105.47	71.45	58.33	34.02	-32231
2009	105.94	60.33	48.30	45.61	-47805
2010	106.40	72.97	59.69	33.43	-32664
2011	106.87	73.82	60.44	33.05	-31772
2012	107.33	73.14	59.90	34.19	-33889
2013	107.80	79.29	65.25	28.51	-26207
2014	106.66	79.29	65.29	27.37	-26369
2015	105.52	82.35	68.04	23.17	-21856
2016	104.37	84.82	70.32	19.55	-17763
2017	103.23	86.94	72.43	16.29	-14410
2018	103.23	93.12	78.17	10.11	-5466
2019	103.23	87.25	72.93	15.98	-12391
2020	103.23	82.70	68.85	20.53	-16415
2021	103.23	90.87	76.35	12.36	-4982
2022	103.23	89.50	75.11	13.73	-4750
