region;tkg;species;component;year;bm
1;1;1;1;1990;6.40545697281004
1;1;1;2;1990;0.491588847629527
1;1;1;3;1990;1.22387175840805
1;1;1;4;1990;0.48183108282828
1;1;1;5;1990;0.335228271030734
1;1;1;6;1990;0.588585941169732
1;1;1;7;1990;1.77856644310132
1;1;2;1;1990;19.2390152696644
1;1;2;2;1990;2.30804161160441
1;1;2;3;1990;6.45295057944808
1;1;2;4;1990;4.52018279847011
1;1;2;5;1990;0.759352162526697
1;1;2;6;1990;1.96860274715008
1;1;2;7;1990;7.59115492987213
1;1;3;1;1990;19.7909385956273
1;1;3;2;1990;3.48642341091735
1;1;3;3;1990;4.74722223042993
1;1;3;4;1990;1.39400000504958
1;1;3;5;1990;0.222601938745736
1;1;3;6;1990;2.14071430065601
1;1;3;7;1990;7.1158129690665
1;2;1;1;1990;11.7023046671379
1;2;1;2;1990;0.97720702809056
1;2;1;3;1990;2.17055261386735
1;2;1;4;1990;0.879911191167232
1;2;1;5;1990;0.526214995880678
1;2;1;6;1990;1.07877336497397
1;2;1;7;1990;3.20744299959234
1;2;2;1;1990;19.9508234434662
1;2;2;2;1990;2.48911044613703
1;2;2;3;1990;6.90746913475316
1;2;2;4;1990;4.98995766673077
1;2;2;5;1990;0.843921906225908
1;2;2;6;1990;2.00903183669091
1;2;2;7;1990;8.12579293827449
1;2;3;1;1990;15.0267302636787
1;2;3;2;1990;2.78506788246698
1;2;3;3;1990;3.56678347510995
1;2;3;4;1990;1.04310187916094
1;2;3;5;1990;0.123013327375389
1;2;3;6;1990;1.71586000473251
1;2;3;7;1990;5.81473713652585
1;4;1;1;1990;19.9159856828111
1;4;1;2;1990;2.15163133262605
1;4;1;3;1990;4.40717192620544
1;4;1;4;1990;2.05996224343787
1;4;1;5;1990;0.896424129907209
1;4;1;6;1990;1.93229661412842
1;4;1;7;1990;5.31695632091596
1;4;2;1;1990;2.31818996373426
1;4;2;2;1990;0.339943447531501
1;4;2;3;1990;1.00079431259432
1;4;2;4;1990;0.810186757522642
1;4;2;5;1990;0.111353371016653
1;4;2;6;1990;0.271544520578562
1;4;2;7;1990;1.18130713253976
1;4;3;1;1990;6.31809333754062
1;4;3;2;1990;1.24928004348701
1;4;3;3;1990;1.71602332345077
1;4;3;4;1990;0.607841680529325
1;4;3;5;1990;0.0774462675515742
1;4;3;6;1990;0.88984337003218
1;4;3;7;1990;2.88730133593122
1;6;1;1;1990;12.6426433390281
1;6;1;2;1990;1.89597625924712
1;6;1;3;1990;3.68508188213913
1;6;1;4;1990;1.85540162454935
1;6;1;5;1990;0.664190368904914
1;6;1;6;1990;1.41128505982899
1;6;1;7;1990;3.66135470457784
1;6;2;1;1990;0.138874782669244
1;6;2;2;1990;0.0256163749036392
1;6;2;3;1990;0.0737487001062071
1;6;2;4;1990;0.0659882779558986
1;6;2;5;1990;0.00931763166997215
1;6;2;6;1990;0.020830520177569
1;6;2;7;1990;0.0992168721136528
1;6;3;1;1990;1.13033202237571
1;6;3;2;1990;0.246252725420088
1;6;3;3;1990;0.364220252355598
1;6;3;4;1990;0.139021453341689
1;6;3;5;1990;0.0409195133820675
1;6;3;6;1990;0.204576512777787
1;6;3;7;1990;0.603105026067048
1;7;1;1;1990;6.37776508814413
1;7;1;2;1990;1.27660364324831
1;7;1;3;1990;2.18793256878059
1;7;1;4;1990;1.2320991975924
1;7;1;5;1990;0.507473033359031
1;7;1;6;1990;0.776343674555916
1;7;1;7;1990;1.88614276883228
1;7;2;1;1990;0.0541978391497769
1;7;2;2;1990;0.0109464932951155
1;7;2;3;1990;0.0224651994795818
1;7;2;4;1990;0.019789865343643
1;7;2;5;1990;0.00444889775767324
1;7;2;6;1990;0.00765316845867588
1;7;2;7;1990;0.0289777305814233
1;7;3;1;1990;0.26369418281674
1;7;3;2;1990;0.0559936288772553
1;7;3;3;1990;0.106385000067845
1;7;3;4;1990;0.0779805606948412
1;7;3;5;1990;0.00984935619245473
