region;soil;ground;litter_source;litter_type;year;A;W;E;N
north;min;NA;logging;coarse_woody_litter;1975;0.0259500900686853;0.000752833606062569;0.000177487647555628;0.0110624666066463
north;min;NA;logging;coarse_woody_litter;1976;0.0239861126721087;0.000687167989700977;0.000155939717244348;0.0102169569200148
north;min;NA;logging;coarse_woody_litter;1977;0.0256073931985886;0.000738434356056989;0.000170929333444956;0.0109153235412624
north;min;NA;logging;coarse_woody_litter;1978;0.0289059409657424;0.000832067906986934;0.000192579389373016;0.0122566966994677
north;min;NA;logging;coarse_woody_litter;1979;0.0315264127391984;0.000920538429013871;0.000221969457632396;0.0133955159580093
north;min;NA;logging;coarse_woody_litter;1980;0.0333004985319439;0.000985151195730523;0.000245814702154052;0.0141993886734933
north;min;NA;logging;coarse_woody_litter;1981;0.0313052641846798;0.000918719692749313;0.000224065890546191;0.0133480474010844
north;min;NA;logging;coarse_woody_litter;1982;0.0310069726386965;0.000914624734669337;0.000227069000183983;0.0131765155388199
north;min;NA;logging;coarse_woody_litter;1983;0.0315795565963309;0.000938042505047811;0.00023719936845242;0.0134359495133374
north;min;NA;logging;coarse_woody_litter;1984;0.0319914865916661;0.000940735153409314;0.000230910969314853;0.0136312289959993
north;min;NA;logging;coarse_woody_litter;1985;0.0310162990657384;0.000903009634580842;0.000216637411000544;0.0131316483826629
north;min;NA;logging;coarse_woody_litter;1986;0.0298740419826931;0.000869764211188287;0.000208479966920419;0.012659756781422
north;min;NA;logging;coarse_woody_litter;1987;0.0343519068524322;0.000987784797890666;0.000228536251671216;0.0145244517701505
north;min;NA;logging;coarse_woody_litter;1988;0.0343259351316302;0.000982900738089212;0.000224956660053389;0.0144811861199719
north;min;NA;logging;coarse_woody_litter;1989;0.034747273173758;0.000995558738423748;0.000228181322882019;0.01466512386532
north;min;NA;logging;coarse_woody_litter;1990;0.0306794568426901;0.000885698359765225;0.00020737813578498;0.0129755531766358
north;min;NA;logging;coarse_woody_litter;1991;0.0236018265499417;0.000680338197459226;0.000158696397962439;0.00997344876255032
north;min;NA;logging;coarse_woody_litter;1992;0.0269568562871461;0.000777900365948604;0.000182818449887002;0.0113443722567128
north;min;NA;logging;coarse_woody_litter;1993;0.0283121347060876;0.000823076301218176;0.000197391804890782;0.0119380835061091
north;min;NA;logging;coarse_woody_litter;1994;0.0313015931995689;0.000916339406861108;0.000223461021568793;0.0132485990097867
north;min;NA;logging;coarse_woody_litter;1995;0.0314552445639256;0.000921588582626103;0.000225606970401441;0.0132928005005964
north;min;NA;logging;coarse_woody_litter;1996;0.0291554107677469;0.000865434343910522;0.000219921942122229;0.0123114803148009
north;min;NA;logging;coarse_woody_litter;1997;0.0314742867511401;0.000932217619417416;0.000235369513223584;0.0132967957077285
north;min;NA;logging;coarse_woody_litter;1998;0.0335050945822355;0.000996434955431341;0.000254640273013863;0.0141409650937547
north;min;NA;logging;coarse_woody_litter;1999;0.0340714108922522;0.00101193118968587;0.000258309255559304;0.0143401382691894
north;min;NA;logging;coarse_woody_litter;2000;0.0348587122824724;0.00103250673764888;0.000261362650651425;0.014687015976255
north;min;NA;logging;coarse_woody_litter;2001;0.0355613377656239;0.0010478551893261;0.000261555101729231;0.0149761996083031
north;min;NA;logging;coarse_woody_litter;2002;0.034842201921975;0.0010269227800914;0.000256806450806825;0.0146549963165209
north;min;NA;logging;coarse_woody_litter;2003;0.0363564468488025;0.00107287188726028;0.000269082114925732;0.0153004140829503
north;min;NA;logging;coarse_woody_litter;2004;0.0406413519435864;0.001117343984393;0.000229191085085159;0.0167183827116343
north;min;NA;logging;coarse_woody_litter;2005;0.0408076564905186;0.0011159517799249;0.00022515798620667;0.016743946910322
north;min;NA;logging;coarse_woody_litter;2006;0.0370319793104972;0.00101053840511138;0.000203483292664373;0.0151197425752242
north;min;NA;logging;coarse_woody_litter;2007;0.0369300257087971;0.00102175459289848;0.000215573559964626;0.0151176875709634
north;min;NA;logging;coarse_woody_litter;2008;0.042856876179748;0.00116401952317409;0.000232075608450251;0.0173877103431181
north;min;NA;logging;coarse_woody_litter;2009;0.0338380332729085;0.00088612817307019;0.000154952421228076;0.0135438938363546
north;min;NA;logging;coarse_woody_litter;2010;0.0400493252130793;0.00106018525093248;0.000192628837644721;0.016128493795414
north;min;NA;logging;coarse_woody_litter;2011;0.0387395103532306;0.00102583517635306;0.000187087309031986;0.0155730197740276
north;min;NA;logging;coarse_woody_litter;2012;0.0391511061977083;0.00102742444183985;0.000181064077475258;0.0156872033182154
north;min;NA;logging;coarse_woody_litter;2013;0.0432933253276487;0.00113545100100088;0.000198518226755094;0.0174127071478226
north;min;NA;logging;coarse_woody_litter;2014;0.0425428708420515;0.00111696031664189;0.000196152883854919;0.0171142962587306
north;min;NA;logging;coarse_woody_litter;2015;0.0424517841243411;0.00111938927075764;0.000199476039676807;0.0171292962266237
north;min;NA;logging;coarse_woody_litter;2016;0.0412110914944153;0.00109885667349848;0.000204744335663392;0.0166576226909955
north;min;NA;logging;coarse_woody_litter;2017;0.0429700930986413;0.00114882956777654;0.000215606805865376;0.0174176956552161
north;min;NA;logging;coarse_woody_litter;2018;0.0490076506529339;0.00131619743363504;0.000250670236712841;0.0199195080009513
north;min;NA;logging;coarse_woody_litter;2019;0.0488681171532966;0.00130919504347945;0.000246858377122168;0.0198633027603906
north;min;NA;logging;coarse_woody_litter;2020;0.0461230796270109;0.00123511588791008;0.000232221310302571;0.0187636027693676
north;min;NA;logging;coarse_woody_litter;2021;0.0496245384701568;0.00134043103641467;0.000260019542027366;0.0202374107060036
north;min;NA;logging;coarse_woody_litter;2022;0.0405593393698985;0.00112342142964899;0.00023637101542362;0.01670122458602
north;org;above;logging;coarse_woody_litter;1982;0.0475430629420864;0.0012368455340417;0.000202241459260101;0.0195070270076826
north;org;above;logging;coarse_woody_litter;1983;0.0469790721981021;0.00123456548824183;0.000210725469710852;0.0193302420160728
north;org;above;logging;coarse_woody_litter;1984;0.0457513496715391;0.00119135312600195;0.000194562262519833;0.0188413382785662
north;org;above;logging;coarse_woody_litter;1985;0.0446011949532828;0.00113786160721733;0.000170449466977392;0.0181738205408077
north;org;above;logging;coarse_woody_litter;1986;0.0403218153753095;0.00102998586073327;0.000154989646725435;0.0164511108130587
north;org;above;logging;coarse_woody_litter;1987;0.0461152582693062;0.00116069040499752;0.000162123276203054;0.0187359136244306
north;org;above;logging;coarse_woody_litter;1988;0.0447430698285687;0.00111865381934807;0.000151128797116012;0.0181195795216636
north;org;above;logging;coarse_woody_litter;1989;0.0429116996835229;0.00107403143418074;0.000145882950366952;0.0173882217602956
north;org;above;logging;coarse_woody_litter;1990;0.0353566869811385;0.000894402690636745;0.000128380583481548;0.0143766590606452
north;org;above;logging;coarse_woody_litter;1991;0.0275679291283326;0.000695047001826273;9.81701235535247e-05;0.0111922794800285
north;org;above;logging;coarse_woody_litter;1992;0.0320077592792611;0.000803576480561025;0.000111818417616748;0.0129282515814153
north;org;above;logging;coarse_woody_litter;1993;0.0325808024702176;0.000825302886063995;0.000120155785822341;0.0131989090271664
north;org;above;logging;coarse_woody_litter;1994;0.0343969996452099;0.000882211232716409;0.000135883458766208;0.0140165155576238
north;org;above;logging;coarse_woody_litter;1995;0.0346790267258878;0.000887844959153382;0.000135980109029781;0.0141003707852774
north;org;above;logging;coarse_woody_litter;1996;0.0308602643112557;0.000800137018175891;0.000130513025743395;0.0125503160640428
north;org;above;logging;coarse_woody_litter;1997;0.0331465450369097;0.000857301971131821;0.000138137399310501;0.0134825015120135
north;org;above;logging;coarse_woody_litter;1998;0.0348599223754561;0.000905064137996035;0.00014871639603941;0.0141691392457894
north;org;above;logging;coarse_woody_litter;1999;0.0357674308197826;0.00092241089350972;0.000147710615265129;0.0144746137403204
north;org;above;logging;coarse_woody_litter;2000;0.0361653334824472;0.000931631657948626;0.000148057002399158;0.0146547861627023
north;org;above;logging;coarse_woody_litter;2001;0.0371807677515313;0.000950836985604592;0.000145961301091167;0.0150447181266196
north;org;above;logging;coarse_woody_litter;2002;0.035816829889834;0.00091376716114792;0.000138974397323918;0.0144651718021941
north;org;above;logging;coarse_woody_litter;2003;0.0369219322737745;0.000943394907519914;0.000144452518131638;0.014922102198061
