region;peat_type;year;drained_peatland_area
north;1;1990;242211
north;1;1991;241812
north;1;1992;241358
north;1;1993;240830
north;1;1994;233994
north;1;1995;227306
north;1;1996;220674
north;1;1997;214109
north;1;1998;207658
north;1;1999;201200
north;1;2000;194804
north;1;2001;188251
north;1;2002;200288
north;1;2003;212315
north;1;2004;224322
north;1;2005;236286
north;1;2006;248454
north;1;2007;260339
north;1;2008;246021
north;1;2009;231746
north;1;2010;217639
north;1;2011;203595
north;1;2012;195137
north;1;2013;186730
north;1;2014;178242
north;1;2015;169492
north;1;2016;160582
north;1;2017;160902
north;1;2018;161136
north;1;2019;161332
north;1;2020;161584
north;1;2021;161999
north;1;2022;161999
north;2;1990;356835
north;2;1991;356510
north;2;1992;356210
north;2;1993;355860
north;2;1994;376682
north;2;1995;396638
north;2;1996;416709
north;2;1997;436768
north;2;1998;456987
north;2;1999;477278
north;2;2000;497400
north;2;2001;517393
north;2;2002;514627
north;2;2003;511908
north;2;2004;509175
north;2;2005;506530
north;2;2006;503979
north;2;2007;501003
north;2;2008;496533
north;2;2009;492086
north;2;2010;487484
north;2;2011;483126
north;2;2012;478489
north;2;2013;473946
north;2;2014;469408
north;2;2015;464610
north;2;2016;459520
north;2;2017;459538
north;2;2018;459482
north;2;2019;459527
north;2;2020;459782
north;2;2021;460163
north;2;2022;460163
north;4;1990;1029919
north;4;1991;1030391
north;4;1992;1030780
north;4;1993;1031071
north;4;1994;1030271
north;4;1995;1030156
north;4;1996;1029868
north;4;1997;1029481
north;4;1998;1029067
north;4;1999;1028491
north;4;2000;1027938
north;4;2001;1027512
north;4;2002;1014129
north;4;2003;1000527
north;4;2004;987070
north;4;2005;973596
north;4;2006;960188
north;4;2007;947872
north;4;2008;940421
north;4;2009;933128
north;4;2010;926198
north;4;2011;919526
north;4;2012;919276
north;4;2013;918755
north;4;2014;918054
north;4;2015;917667
north;4;2016;917444
north;4;2017;917553
north;4;2018;917996
north;4;2019;918622
north;4;2020;918860
north;4;2021;918825
north;4;2022;918825
north;6;1990;363139
north;6;1991;362465
north;6;1992;361816
north;6;1993;361230
north;6;1994;355017
north;6;1995;348883
north;6;1996;342812
north;6;1997;336775
north;6;1998;330824
north;6;1999;324943
north;6;2000;319132
north;6;2001;313304
north;6;2002;331163
north;6;2003;349359
north;6;2004;367531
north;6;2005;385636
north;6;2006;403725
north;6;2007;421919
north;6;2008;430887
north;6;2009;439936
north;6;2010;449725
north;6;2011;458953
north;6;2012;474715
north;6;2013;490261
north;6;2014;505551
north;6;2015;520982
north;6;2016;536704
north;6;2017;536790
north;6;2018;536832
north;6;2019;536748
north;6;2020;536430
north;6;2021;535999
north;6;2022;535999
north;7;1990;4873
north;7;1991;4875
north;7;1992;4880
north;7;1993;4868
north;7;1994;5708
north;7;1995;6532
north;7;1996;7344
north;7;1997;8140
north;7;1998;8953
north;7;1999;9850
north;7;2000;10761
north;7;2001;11684
north;7;2002;10942
north;7;2003;10198
north;7;2004;9456
north;7;2005;8712
north;7;2006;7970
north;7;2007;7230
north;7;2008;8894
north;7;2009;10568
north;7;2010;12233
north;7;2011;13810
north;7;2012;14384
north;7;2013;14793
north;7;2014;15284
north;7;2015;15795
north;7;2016;16405
north;7;2017;16365
north;7;2018;16494
north;7;2019;16540
north;7;2020;16568
north;7;2021;16584
north;7;2022;16584
south;1;1990;340641
south;1;1991;334948
south;1;1992;329566
south;1;1993;324518
south;1;1994;319568
south;1;1995;314583
south;1;1996;309547
south;1;1997;304575
south;1;1998;299432
south;1;1999;302506
south;1;2000;305643
south;1;2001;308994
south;1;2002;312428
south;1;2003;316107
south;1;2004;319609
south;1;2005;323120
south;1;2006;326725
south;1;2007;330191
south;1;2008;343666
south;1;2009;357169
south;1;2010;371916
south;1;2011;386789
south;1;2012;372008
south;1;2013;356643
south;1;2014;341232
south;1;2015;325809
south;1;2016;310458
south;1;2017;311108
south;1;2018;312131
south;1;2019;313092
south;1;2020;313989
south;1;2021;314615
south;1;2022;314615
south;2;1990;535799
south;2;1991;551652
south;2;1992;567388
south;2;1993;583001
south;2;1994;598649
south;2;1995;614365
south;2;1996;630162
south;2;1997;645911
south;2;1998;661586
south;2;1999;664775
south;2;2000;667873
south;2;2001;670914
south;2;2002;673902
south;2;2003;676749
south;2;2004;679700
south;2;2005;682578
south;2;2006;685352
south;2;2007;687829
south;2;2008;681447
south;2;2009;674748
south;2;2010;668156
south;2;2011;661664
south;2;2012;672656
south;2;2013;683427
south;2;2014;694382
south;2;2015;705232
south;2;2016;716010
south;2;2017;715664
south;2;2018;715486
south;2;2019;715337
south;2;2020;715286
south;2;2021;715183
south;2;2022;715183
south;4;1990;861320
south;4;1991;856165
south;4;1992;850700
south;4;1993;844988
south;4;1994;839046
south;4;1995;832937
south;4;1996;826646
south;4;1997;820327
south;4;1998;813901
south;4;1999;799576
south;4;2000;785068
south;4;2001;770636
south;4;2002;756152
south;4;2003;741533
south;4;2004;726979
south;4;2005;712467
south;4;2006;697956
south;4;2007;683695
south;4;2008;687166
south;4;2009;690389
south;4;2010;693443
south;4;2011;696523
south;4;2012;691350
south;4;2013;686166
south;4;2014;681435
south;4;2015;676646
south;4;2016;672048
south;4;2017;672022
south;4;2018;672028
south;4;2019;671927
south;4;2020;672073
south;4;2021;672030
south;4;2022;672030
south;6;1990;447656
south;6;1991;448765
south;6;1992;449830
south;6;1993;450766
south;6;1994;451710
south;6;1995;452646
south;6;1996;453577
south;6;1997;454391
south;6;1998;454988
south;6;1999;459380
south;6;2000;463818
south;6;2001;467914
south;6;2002;472035
south;6;2003;476057
south;6;2004;479958
south;6;2005;483931
south;6;2006;487999
south;6;2007;492099
south;6;2008;482459
south;6;2009;472792
south;6;2010;463059
south;6;2011;453362
south;6;2012;456294
south;6;2013;459205
south;6;2014;462227
south;6;2015;465087
south;6;2016;467808
south;6;2017;467319
south;6;2018;466531
south;6;2019;465566
south;6;2020;464666
south;6;2021;463729
south;6;2022;463729
south;7;1990;38684
south;7;1991;36730
south;7;1992;34829
south;7;1993;32981
south;7;1994;31066
south;7;1995;29143
south;7;1996;27218
south;7;1997;25291
south;7;1998;23601
south;7;1999;24922
south;7;2000;26045
south;7;2001;27382
south;7;2002;28715
south;7;2003;30041
south;7;2004;31365
south;7;2005;32687
south;7;2006;34008
south;7;2007;35261
south;7;2008;35922
south;7;2009;36567
south;7;2010;37306
south;7;2011;38045
south;7;2012;33708
south;7;2013;29313
south;7;2014;25005
south;7;2015;20703
south;7;2016;16405
south;7;2017;16466
south;7;2018;16528
south;7;2019;16521
south;7;2020;16518
south;7;2021;16514
south;7;2022;16514
