region;peat_type;year;roll_T
north;1;1990;9.29909554009307
north;1;1991;9.24706928048309
north;1;1992;9.25277650888214
north;1;1993;9.16961147228279
north;1;1994;9.16050363015871
north;1;1995;9.19048563008417
north;1;1996;9.19689040812427
north;1;1997;9.1884173400237
north;1;1998;9.2443518503798
north;1;1999;9.26358030552653
north;1;2000;9.28095247804677
north;1;2001;9.33439819927489
north;1;2002;9.32456226675691
north;1;2003;9.36643355578957
north;1;2004;9.36448035525288
north;1;2005;9.41450338737335
north;1;2006;9.505916233294
north;1;2007;9.57466775483905
north;1;2008;9.5816095872564
north;1;2009;9.59489658913997
north;1;2010;9.62263318684671
north;1;2011;9.69438050630978
north;1;2012;9.72558188342559
north;1;2013;9.77444499469223
north;1;2014;9.78868531707599
north;1;2015;9.80156300841841
north;1;2016;9.84813963835456
north;1;2017;9.84517685775571
north;1;2018;9.87847414296531
north;1;2019;9.86102771728571
north;1;2020;9.91032472567366
north;1;2021;9.96210258932273
north;1;2022;10.0370975246317
north;2;1990;9.40013532639021
north;2;1991;9.34973960018687
north;2;1992;9.35839823068935
north;2;1993;9.27552892730612
north;2;1994;9.26650612526869
north;2;1995;9.29831468381137
north;2;1996;9.30255246160535
north;2;1997;9.29222149398614
north;2;1998;9.34554659539903
north;2;1999;9.3668396385485
north;2;2000;9.38536943172872
north;2;2001;9.44008244992838
north;2;2002;9.42981845375992
north;2;2003;9.47194116966204
north;2;2004;9.47102494614583
north;2;2005;9.52037389364487
north;2;2006;9.61847229525393
north;2;2007;9.68661480580345
north;2;2008;9.69479202696542
north;2;2009;9.70700326556091
north;2;2010;9.73706013420076
north;2;2011;9.80611919758386
north;2;2012;9.83913234180493
north;2;2013;9.8863459664966
north;2;2014;9.89709492858622
north;2;2015;9.91017776732758
north;2;2016;9.95560942294624
north;2;2017;9.95208158187883
north;2;2018;9.9853831892465
north;2;2019;9.96688362576163
north;2;2020;10.0184100639077
north;2;2021;10.0719697393909
north;2;2022;10.144267847403
north;4;1990;9.16535552934395
north;4;1991;9.1114724784483
north;4;1992;9.1190624533503
north;4;1993;9.03431378133068
north;4;1994;9.02420103432766
north;4;1995;9.05485516001501
north;4;1996;9.06025740443785
north;4;1997;9.05105962426019
north;4;1998;9.10882496094748
north;4;1999;9.13214984027114
north;4;2000;9.15033077402227
north;4;2001;9.20582464780613
north;4;2002;9.19671300575593
north;4;2003;9.24094709259294
north;4;2004;9.2384711537713
north;4;2005;9.29017712257094
north;4;2006;9.38535707570411
north;4;2007;9.4548721841733
north;4;2008;9.46333347014962
north;4;2009;9.47685644096284
north;4;2010;9.50649695931324
north;4;2011;9.57665565736318
north;4;2012;9.61038614528796
north;4;2013;9.65928686446223
north;4;2014;9.67131871143431
north;4;2015;9.68507776785378
north;4;2016;9.73360655760987
north;4;2017;9.72860237941873
north;4;2018;9.76181436874599
north;4;2019;9.74233359737974
north;4;2020;9.79555618940987
north;4;2021;9.84955703387494
north;4;2022;9.92590079103866
north;6;1990;9.15446482629774
north;6;1991;9.10050290789302
north;6;1992;9.10800448766785
north;6;1993;9.02258988207793
north;6;1994;9.01243031762379
north;6;1995;9.04253209109728
north;6;1996;9.04867712220402
north;6;1997;9.04043178174753
north;6;1998;9.09804796570312
north;6;1999;9.12039835048802
north;6;2000;9.13765215643474
north;6;2001;9.19266770703675
north;6;2002;9.18377411093523
north;6;2003;9.22802109190532
north;6;2004;9.22525592258589
north;6;2005;9.27618810706639
north;6;2006;9.37020484596564
north;6;2007;9.43930369220936
north;6;2008;9.44697074809084
north;6;2009;9.46063562813688
north;6;2010;9.48958802159732
north;6;2011;9.55952256093877
north;6;2012;9.59302631419531
north;6;2013;9.64214961153426
north;6;2014;9.65452871800982
north;6;2015;9.66763125647432
north;6;2016;9.71589935240036
north;6;2017;9.71141198917075
north;6;2018;9.74482453481907
north;6;2019;9.72591951364923
north;6;2020;9.77844747608279
north;6;2021;9.83253506136857
north;6;2022;9.9086392281481
north;7;1990;9.67087900446406
north;7;1991;9.62232597140365
north;7;1992;9.63159155189231
north;7;1993;9.54891904452367
north;7;1994;9.54033317580618
north;7;1995;9.5729554991651
north;7;1996;9.57306656354718
north;7;1997;9.56124645927331
north;7;1998;9.60725053962563
north;7;1999;9.62558061947101
north;7;2000;9.64499892456391
north;7;2001;9.70071958355428
north;7;2002;9.69186513490868
north;7;2003;9.7337166488337
north;7;2004;9.73684561398095
north;7;2005;9.78434662238678
north;7;2006;9.89211355878782
north;7;2007;9.96126485497263
north;7;2008;9.97075757806305
north;7;2009;9.98238037836629
north;7;2010;10.0162249551001
north;7;2011;10.0848131414068
north;7;2012;10.1188452952136
north;7;2013;10.164619915375
north;7;2014;10.1727780840321
north;7;2015;10.1840081146254
north;7;2016;10.2224291028039
north;7;2017;10.221373300988
north;7;2018;10.2566676080422
north;7;2019;10.2417534689715
north;7;2020;10.2903349254065
north;7;2021;10.344136382346
north;7;2022;10.4094338650065
south;1;1990;10.9541719143744
south;1;1991;10.9211407383962
south;1;1992;10.9478864313896
south;1;1993;10.8677851019544
south;1;1994;10.864595153322
south;1;1995;10.9061757680148
south;1;1996;10.9002492642027
south;1;1997;10.8919257452573
south;1;1998;10.9182834017509
south;1;1999;10.9445223742708
south;1;2000;10.9551302566856
south;1;2001;11.0058413681814
south;1;2002;10.994541936544
south;1;2003;11.0192931686408
south;1;2004;11.0294705342071
south;1;2005;11.051296111558
south;1;2006;11.1645066480642
south;1;2007;11.2229371579241
south;1;2008;11.2439176577564
south;1;2009;11.2522063912489
south;1;2010;11.2953018210484
south;1;2011;11.3559385999216
south;1;2012;11.3910833255439
south;1;2013;11.430043380082
south;1;2014;11.4449655123467
south;1;2015;11.4547215713261
south;1;2016;11.4931283249552
south;1;2017;11.5094792837774
south;1;2018;11.5521292140004
south;1;2019;11.5419853959148
south;1;2020;11.6009594134578
south;1;2021;11.6650709286362
south;1;2022;11.7206512270116
south;2;1990;10.8017691582994
south;2;1991;10.7669302479465
south;2;1992;10.7923359309275
south;2;1993;10.7119353582925
south;2;1994;10.7079509495915
south;2;1995;10.7483135113651
south;2;1996;10.742582302892
south;2;1997;10.7342031667249
south;2;1998;10.7620419906129
south;2;1999;10.7869483670277
south;2;2000;10.7974790029863
south;2;2001;10.8479299935637
south;2;2002;10.8363774693079
south;2;2003;10.8624341188728
south;2;2004;10.8715321678197
south;2;2005;10.8948326633767
south;2;2006;11.0073370022629
south;2;2007;11.0652447355323
south;2;2008;11.0844825275694
south;2;2009;11.0920874370734
south;2;2010;11.1336542791727
south;2;2011;11.1937668430853
south;2;2012;11.2288223770851
south;2;2013;11.268205948455
south;2;2014;11.2819557734431
south;2;2015;11.2913542383664
south;2;2016;11.3289941233714
south;2;2017;11.3439010082823
south;2;2018;11.3860718855697
south;2;2019;11.3753825487555
south;2;2020;11.4338532803831
south;2;2021;11.4973716630282
south;2;2022;11.5531117443519
south;4;1990;10.583675848174
south;4;1991;10.546933495221
south;4;1992;10.5696958066604
south;4;1993;10.4887266343478
south;4;1994;10.4834279705404
south;4;1995;10.521131139164
south;4;1996;10.5150054832285
south;4;1997;10.506877153427
south;4;1998;10.5364089061318
south;4;1999;10.5573728355691
south;4;2000;10.5676749098639
south;4;2001;10.6168381717602
south;4;2002;10.6046823952676
south;4;2003;10.6331404497908
south;4;2004;10.6407997977745
south;4;2005;10.6662261633591
south;4;2006;10.7766680264936
south;4;2007;10.8325907829585
south;4;2008;10.8477136420917
south;4;2009;10.853348481512
south;4;2010;10.8913559912228
south;4;2011;10.9513415592784
south;4;2012;10.9852072148895
south;4;2013;11.0247335039824
south;4;2014;11.0366062819133
south;4;2015;11.0443324651748
south;4;2016;11.0795492914235
south;4;2017;11.0906567660794
south;4;2018;11.13102457445
south;4;2019;11.1192984459359
south;4;2020;11.1753679464041
south;4;2021;11.2374451329258
south;4;2022;11.2933207285434
south;6;1990;10.552574270018
south;6;1991;10.5160702182148
south;6;1992;10.538920990767
south;6;1993;10.4590471382216
south;6;1994;10.453729326206
south;6;1995;10.4914703887993
south;6;1996;10.4851104009809
south;6;1997;10.477648610002
south;6;1998;10.5071995228227
south;6;1999;10.5271598499487
south;6;2000;10.5371299261341
south;6;2001;10.5856340597347
south;6;2002;10.5737608565858
south;6;2003;10.6023399385919
south;6;2004;10.6096830768553
south;6;2005;10.635308803459
south;6;2006;10.7449831977608
south;6;2007;10.8001689164758
south;6;2008;10.8147163954355
south;6;2009;10.820194072272
south;6;2010;10.8572021315728
south;6;2011;10.9171700347736
south;6;2012;10.950291446214
south;6;2013;10.9900042295729
south;6;2014;11.0016146509535
south;6;2015;11.0091548464267
south;6;2016;11.0438743507788
south;6;2017;11.0544840299986
south;6;2018;11.0941455702509
south;6;2019;11.0823931932373
south;6;2020;11.1373758585906
south;6;2021;11.1981614895222
south;6;2022;11.2537651526127
south;7;1990;10.4756630037011
south;7;1991;10.4372831445731
south;7;1992;10.4584542086873
south;7;1993;10.3797563219651
south;7;1994;10.3742904517685
south;7;1995;10.4097415948309
south;7;1996;10.4037310341486
south;7;1997;10.3982358185568
south;7;1998;10.4278312314597
south;7;1999;10.4451836049655
south;7;2000;10.4554017547217
south;7;2001;10.5035501683863
south;7;2002;10.4946439600542
south;7;2003;10.5264058836585
south;7;2004;10.5343631485701
south;7;2005;10.5615087558515
south;7;2006;10.6709318797447
south;7;2007;10.7263584599839
south;7;2008;10.7396983641064
south;7;2009;10.7446793577767
south;7;2010;10.7788653482119
south;7;2011;10.8397227728006
south;7;2012;10.8724368519268
south;7;2013;10.9133029513224
south;7;2014;10.9262534913158
south;7;2015;10.9335836237627
south;7;2016;10.9673898001277
south;7;2017;10.9783671382652
south;7;2018;11.0190772387134
south;7;2019;11.0096724485591
south;7;2020;11.0639919263379
south;7;2021;11.1255832402765
south;7;2022;11.1818120822159
