species region bmtype component litter_type bm_turnover_constant
1 1 stemwood 1 fine_woody_litter 0.0052
1 1 bark 2 fine_woody_litter 0.0052
1 1 liveBranch 3 fine_woody_litter 0.02
1 1 foliage 4 non-woody_litter 0.33
1 1 deadBranch 5 fine_woody_litter 0.02
1 1 stump 6 fine_woody_litter 0.0029
1 1 roots 7 fine_woody_litter 0.0184
1 2 stemwood 1 fine_woody_litter 0.0052
1 2 bark 2 fine_woody_litter 0.0052
1 2 liveBranch 3 fine_woody_litter 0.02
1 2 foliage 4 non-woody_litter 0.33
1 2 deadBranch 5 fine_woody_litter 0.02
1 2 stump 6 fine_woody_litter 0.0029
1 2 roots 7 fine_woody_litter 0.0184
2 1 stemwood 1 fine_woody_litter 0.0027
2 1 bark 2 fine_woody_litter 0.0027
2 1 liveBranch 3 fine_woody_litter 0.0125
2 1 foliage 4 non-woody_litter 0.1
2 1 deadBranch 5 fine_woody_litter 0.0125
2 1 stump 6 fine_woody_litter 0.0015
2 1 roots 7 fine_woody_litter 0.0125
2 2 stemwood 1 fine_woody_litter 0.0027
2 2 bark 2 fine_woody_litter 0.0027
2 2 liveBranch 3 fine_woody_litter 0.0125
2 2 foliage 4 non-woody_litter 0.05
2 2 deadBranch 5 fine_woody_litter 0.0125
2 2 stump 6 fine_woody_litter 0.0015
2 2 roots 7 fine_woody_litter 0.0125
3 1 stemwood 1 fine_woody_litter 0.0029
3 1 bark 2 fine_woody_litter 0.0029
3 1 liveBranch 3 fine_woody_litter 0.0135
3 1 foliage 4 non-woody_litter 0.79
3 1 deadBranch 5 fine_woody_litter 0.0135
3 1 stump 6 fine_woody_litter 0.0001
3 1 roots 7 fine_woody_litter 0.0135
3 2 stemwood 1 fine_woody_litter 0.0029
3 2 bark 2 fine_woody_litter 0.0029
3 2 liveBranch 3 fine_woody_litter 0.0135
3 2 foliage 4 non-woody_litter 0.79
3 2 deadBranch 5 fine_woody_litter 0.0135
3 2 stump 6 fine_woody_litter 0.0001
3 2 roots 7 fine_woody_litter 0.0135
